,state,const_id,const_name,candidate,party,votes
0,Chhattisgarh,53,Chhattisgarh - Abhanpur,DHANENDRA SAHU,Indian National Congress,76761
1,Chhattisgarh,53,Chhattisgarh - Abhanpur,CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,53290
2,Chhattisgarh,53,Chhattisgarh - Abhanpur,DAYARAM NISHAD,Janta Congress Chhattisgarh (J),21324
3,Chhattisgarh,53,Chhattisgarh - Abhanpur,BRAMHANAND SAHU,Independent,2249
4,Chhattisgarh,53,Chhattisgarh - Abhanpur,SHWETA RAKESH SAHU,Independent,2040
5,Chhattisgarh,53,Chhattisgarh - Abhanpur,TIKENDRA SINGH THAKUR,Nationalist Congress Party,1242
6,Chhattisgarh,53,Chhattisgarh - Abhanpur,SHAKUNTALA MANDLE,Independent,962
7,Chhattisgarh,53,Chhattisgarh - Abhanpur,SANJAY RAI,Aam Aadmi Party,695
8,Chhattisgarh,53,Chhattisgarh - Abhanpur,SAVITRI PAL,Independent,582
9,Chhattisgarh,53,Chhattisgarh - Abhanpur,BHUNESHWAR,Independent,479
10,Chhattisgarh,53,Chhattisgarh - Abhanpur,TEKESHWAR CHATURVEDI,Independent,244
11,Chhattisgarh,53,Chhattisgarh - Abhanpur,DEEPAK KUMAR NAVRANGE,Independent,182
12,Chhattisgarh,53,Chhattisgarh - Abhanpur,None of the Above,None of the Above,3005
13,Chhattisgarh,67,Chhattisgarh - Ahiwara,GURU RUDRA KUMAR,Indian National Congress,88735
14,Chhattisgarh,67,Chhattisgarh - Ahiwara,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,57048
15,Chhattisgarh,67,Chhattisgarh - Ahiwara,DR.SHOBHA RAM BANJARE,Bahujan Samaj Party,5844
16,Chhattisgarh,67,Chhattisgarh - Ahiwara,RAM KUMAR SURVANSHI,Independent,1513
17,Chhattisgarh,67,Chhattisgarh - Ahiwara,AJAY RAMTEKE,Aam Aadmi Party,1178
18,Chhattisgarh,67,Chhattisgarh - Ahiwara,RAMBAGAS BHARTI,Independent,705
19,Chhattisgarh,67,Chhattisgarh - Ahiwara,PADMA PATIL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),673
20,Chhattisgarh,67,Chhattisgarh - Ahiwara,MANOJ KUMAR LAHARE,Ambedkarite Party of India,638
21,Chhattisgarh,67,Chhattisgarh - Ahiwara,GAIND LAL RAI,Independent,595
22,Chhattisgarh,67,Chhattisgarh - Ahiwara,NANDKUMAR MAHILANG,Independent,507
23,Chhattisgarh,67,Chhattisgarh - Ahiwara,ADVOCATE SHAILENDRA KUMAR BANJARE (SHAKTI PUTRA),Shakti Sena (Bharat Desh),266
24,Chhattisgarh,67,Chhattisgarh - Ahiwara,None of the Above,None of the Above,3681
25,Chhattisgarh,33,Chhattisgarh - Akaltara,SAURABH SINGH,Bharatiya Janata Party,60502
26,Chhattisgarh,33,Chhattisgarh - Akaltara,RICHA JOGI,Bahujan Samaj Party,58648
27,Chhattisgarh,33,Chhattisgarh - Akaltara,CHUNNILAL SAHU,Indian National Congress,27667
28,Chhattisgarh,33,Chhattisgarh - Akaltara,BADRI PRASAD OGREY,Independent,971
29,Chhattisgarh,33,Chhattisgarh - Akaltara,CHANDRAHAS DEWANGAN,Aam Aadmi Party,958
30,Chhattisgarh,33,Chhattisgarh - Akaltara,PUSHPENDRA KUMAR JAISWAL,Nationalist Congress Party,746
31,Chhattisgarh,33,Chhattisgarh - Akaltara,SHIV KUMAR VISHWKARMA,Independent,682
32,Chhattisgarh,33,Chhattisgarh - Akaltara,RKS (RAM KUMAR SHRIWAS),Independent,552
33,Chhattisgarh,33,Chhattisgarh - Akaltara,RAJESH KUMAR BANJARE,Ambedkarite Party of India,483
34,Chhattisgarh,33,Chhattisgarh - Akaltara,JAGMOHAN PATLEY,Independent,481
35,Chhattisgarh,33,Chhattisgarh - Akaltara,DILESHWAR SAHU,National Democratic Peoples Front,345
36,Chhattisgarh,33,Chhattisgarh - Akaltara,SANJAY PRAKASH SAHU,Bhartiya Kisan Party,323
37,Chhattisgarh,33,Chhattisgarh - Akaltara,AMIR SINGH,Independent,308
38,Chhattisgarh,33,Chhattisgarh - Akaltara,JIWAN LAL YADAW,Samajwadi Party,301
39,Chhattisgarh,33,Chhattisgarh - Akaltara,DILESHWAR VISHWAKARMA,Shiv Sena,287
40,Chhattisgarh,33,Chhattisgarh - Akaltara,None of the Above,None of the Above,2242
41,Chhattisgarh,10,Chhattisgarh - Ambikapur,T.S. BABA,Indian National Congress,100439
42,Chhattisgarh,10,Chhattisgarh - Ambikapur,ANURAG SINGH DEO,Bharatiya Janata Party,60815
43,Chhattisgarh,10,Chhattisgarh - Ambikapur,GOPAL PRASAD GUPTA,Gondvana Gantantra Party,4459
44,Chhattisgarh,10,Chhattisgarh - Ambikapur,TARUN KUMAR BHAGAT,Independent,2173
45,Chhattisgarh,10,Chhattisgarh - Ambikapur,KRANTI KUMAR RAWAT,Independent,2103
46,Chhattisgarh,10,Chhattisgarh - Ambikapur,SITA RAM DAS,Bahujan Samaj Party,1322
47,Chhattisgarh,10,Chhattisgarh - Ambikapur,T S SINGH (BABA),Independent,1075
48,Chhattisgarh,10,Chhattisgarh - Ambikapur,PARASNATH RAJWADE,Independent,981
49,Chhattisgarh,10,Chhattisgarh - Ambikapur,KRISHNA NANDAN SINGH,Independent,592
50,Chhattisgarh,10,Chhattisgarh - Ambikapur,ARVIND KACHCHHAP,Bahujan Mukti Party,507
51,Chhattisgarh,10,Chhattisgarh - Ambikapur,SAKET TRIPATHI,Aam Aadmi Party,424
52,Chhattisgarh,10,Chhattisgarh - Ambikapur,TRIBHUVAN KUMAR,Ambedkarite Party of India,360
53,Chhattisgarh,10,Chhattisgarh - Ambikapur,MUSKAN RAJAK,Independent,358
54,Chhattisgarh,10,Chhattisgarh - Ambikapur,JHAMKESHWAR PAIKRA,Chhattisgarh Swabhiman Manch,334
55,Chhattisgarh,10,Chhattisgarh - Ambikapur,KAMAL KUMAR KASHYAP,Independent,327
56,Chhattisgarh,10,Chhattisgarh - Ambikapur,ALIMUDDIN QUADARI,Independent,319
57,Chhattisgarh,10,Chhattisgarh - Ambikapur,VIJAY TIWARI,Independent,307
58,Chhattisgarh,10,Chhattisgarh - Ambikapur,SATENDRA KUMAR SINGH,Independent,288
59,Chhattisgarh,10,Chhattisgarh - Ambikapur,SHARAD TRIPATHI,Shiv Sena,284
60,Chhattisgarh,10,Chhattisgarh - Ambikapur,SUJAN BIND,Rashtriya mahan Gantantra Party,258
61,Chhattisgarh,10,Chhattisgarh - Ambikapur,T.S.SINGH (BABA),Janata Congress,254
62,Chhattisgarh,10,Chhattisgarh - Ambikapur,VIJAY KUMAR PAIKRA,Independent,161
63,Chhattisgarh,10,Chhattisgarh - Ambikapur,None of the Above,None of the Above,609
64,Chhattisgarh,79,Chhattisgarh - Antagarh,ANOOP NAG,Indian National Congress,57061
65,Chhattisgarh,79,Chhattisgarh - Antagarh,VIKRAM USENDI,Bharatiya Janata Party,43647
66,Chhattisgarh,79,Chhattisgarh - Antagarh,SUKHRANJAN USENDI URAF SILEDAR,Independent,4854
67,Chhattisgarh,79,Chhattisgarh - Antagarh,SANTRAM SARPHE (SALAM),Aam Aadmi Party,3981
68,Chhattisgarh,79,Chhattisgarh - Antagarh,HEMANT POYAM,Bahujan Samaj Party,1243
69,Chhattisgarh,79,Chhattisgarh - Antagarh,RUPDHAR PUDO,Ambedkarite Party of India,1085
70,Chhattisgarh,79,Chhattisgarh - Antagarh,LAXMAN SINGH KOMRA,Independent,922
71,Chhattisgarh,79,Chhattisgarh - Antagarh,NEHRU RAM KOMRA,Independent,683
72,Chhattisgarh,79,Chhattisgarh - Antagarh,SUNITA DHURVE MANDAL,Bhartiya Panchyat Party,663
73,Chhattisgarh,79,Chhattisgarh - Antagarh,PARVAR SINGH KOMRA,Gondvana Gantantra Party,607
74,Chhattisgarh,79,Chhattisgarh - Antagarh,BIRENDRA PARTE,Shiv Sena,484
75,Chhattisgarh,79,Chhattisgarh - Antagarh,None of the Above,None of the Above,4831
76,Chhattisgarh,52,Chhattisgarh - Arang,DR. SHIVKUMAR DAHARIYA,Indian National Congress,69900
77,Chhattisgarh,52,Chhattisgarh - Arang,SANJAY DHIDHI,Bharatiya Janata Party,44823
78,Chhattisgarh,52,Chhattisgarh - Arang,SANJAY CHELAK,Janta Congress Chhattisgarh (J),27903
79,Chhattisgarh,52,Chhattisgarh - Arang,SHARDA BANJARE,Independent,3042
80,Chhattisgarh,52,Chhattisgarh - Arang,NARAYAN PRASAD TANDAN,Independent,1528
81,Chhattisgarh,52,Chhattisgarh - Arang,DAGESHVAR BHARTI,Aam Aadmi Party,1423
82,Chhattisgarh,52,Chhattisgarh - Arang,SANTOSH KUMAR DAHARIYA,Shiv Sena,1112
83,Chhattisgarh,52,Chhattisgarh - Arang,SANJAY KUMAR KOSARIYA,Chhattisgarh Vikas Party,1053
84,Chhattisgarh,52,Chhattisgarh - Arang,NAROTTAM BANJARE,Independent,552
85,Chhattisgarh,52,Chhattisgarh - Arang,ASHOK SONWANI,Independent,439
86,Chhattisgarh,52,Chhattisgarh - Arang,GAJENDRA SINGH KOSHLEY,Independent,379
87,Chhattisgarh,52,Chhattisgarh - Arang,DR. UDAY RATRE,Independent,361
88,Chhattisgarh,52,Chhattisgarh - Arang,NEHA BAGHEL,Bharatiya Bahujan Congress,360
89,Chhattisgarh,52,Chhattisgarh - Arang,TARJAN JANGADE,Independent,315
90,Chhattisgarh,52,Chhattisgarh - Arang,RIJHENDRA KUMAR DAHARIYA,Rashtriya Jansabha Party,265
91,Chhattisgarh,52,Chhattisgarh - Arang,ADVOCATE SHAILENDRA BANJARE(SHAKTI PUTRA ),Shakti Sena (Bharat Desh),202
92,Chhattisgarh,52,Chhattisgarh - Arang,None of the Above,None of the Above,1321
93,Chhattisgarh,3,Chhattisgarh - Baikunthpur,AMBICA SINGH DEO,Indian National Congress,48885
94,Chhattisgarh,3,Chhattisgarh - Baikunthpur,BHAIYALAL RAJWADE,Bharatiya Janata Party,43546
95,Chhattisgarh,3,Chhattisgarh - Baikunthpur,ENGR.SANJAY SINGH KAMRO,Gondvana Gantantra Party,20247
96,Chhattisgarh,3,Chhattisgarh - Baikunthpur,BIHARI LAL RAJWADE,Janta Congress Chhattisgarh (J),9236
97,Chhattisgarh,3,Chhattisgarh - Baikunthpur,SUNIL SINGH,Aam Aadmi Party,1504
98,Chhattisgarh,3,Chhattisgarh - Baikunthpur,RAM NARAYAN SAHU,Independent,1171
99,Chhattisgarh,3,Chhattisgarh - Baikunthpur,CHINTAMANI SANDILYA,Independent,710
100,Chhattisgarh,3,Chhattisgarh - Baikunthpur,GOPAL SINGH,Independent,615
101,Chhattisgarh,3,Chhattisgarh - Baikunthpur,RAM PRATAP SAHU,Bhartiya Panchyat Party,579
102,Chhattisgarh,3,Chhattisgarh - Baikunthpur,LAV SINGH UDAY,Rashtriya Gondvana Party,426
103,Chhattisgarh,3,Chhattisgarh - Baikunthpur,None of the Above,None of the Above,2630
104,Chhattisgarh,45,Chhattisgarh - Balodabazar,PRAMOD KUMAR SHARMA,Janta Congress Chhattisgarh (J),65251
105,Chhattisgarh,45,Chhattisgarh - Balodabazar,JANAK RAM VERMA,Indian National Congress,63122
106,Chhattisgarh,45,Chhattisgarh - Balodabazar,TESU LAL DHURANDHAR,Bharatiya Janata Party,48808
107,Chhattisgarh,45,Chhattisgarh - Balodabazar,GANESH KUMAR AGRAWAL,Independent,3093
108,Chhattisgarh,45,Chhattisgarh - Balodabazar,GANGA RAM SHER,Independent,3079
109,Chhattisgarh,45,Chhattisgarh - Balodabazar,SANTOSH KUMAR YADU,Shiv Sena,1634
110,Chhattisgarh,45,Chhattisgarh - Balodabazar,MUKESH SAHU,Independent,1530
111,Chhattisgarh,45,Chhattisgarh - Balodabazar,KISHAN LAL,Independent,1035
112,Chhattisgarh,45,Chhattisgarh - Balodabazar,MANAHARAN LAL VERMA,Aam Aadmi Party,979
113,Chhattisgarh,45,Chhattisgarh - Balodabazar,ANIL KUMAR YADAV,Ambedkarite Party of India,903
114,Chhattisgarh,45,Chhattisgarh - Balodabazar,SMT. TIKESHWARI DHRUW,Independent,824
115,Chhattisgarh,45,Chhattisgarh - Balodabazar,GAUKARAN NISHAD,Bhrashtachar Mukti Morcha,690
116,Chhattisgarh,45,Chhattisgarh - Balodabazar,MAHENDRA KUMAR SAHU,Chhattisgarh Swabhiman Manch,688
117,Chhattisgarh,45,Chhattisgarh - Balodabazar,ASHWANI VERMA,Independent,521
118,Chhattisgarh,45,Chhattisgarh - Balodabazar,ROHIT PATIL,Rashtriya Jansabha Party,368
119,Chhattisgarh,45,Chhattisgarh - Balodabazar,None of the Above,None of the Above,3167
120,Chhattisgarh,40,Chhattisgarh - Basna,DEVENDRA BAHADUR SINGH,Indian National Congress,67535
121,Chhattisgarh,40,Chhattisgarh - Basna,SAMPAT AGRAWAL,Independent,50027
122,Chhattisgarh,40,Chhattisgarh - Basna,DURGACHARAN(D.C.) PATEL,Bharatiya Janata Party,36394
123,Chhattisgarh,40,Chhattisgarh - Basna,TRILOCHAN NAYAK LUNGIWALA,Janta Congress Chhattisgarh (J),7758
124,Chhattisgarh,40,Chhattisgarh - Basna,DR. ANAMIKA PAUL,Independent,2475
125,Chhattisgarh,40,Chhattisgarh - Basna,MAHENDRA SAO,Independent,2123
126,Chhattisgarh,40,Chhattisgarh - Basna,KALESHWAR YADAV,National Democratic Peoples Front,1753
127,Chhattisgarh,40,Chhattisgarh - Basna,ASHOK PRADHAN,Shiv Sena,1007
128,Chhattisgarh,40,Chhattisgarh - Basna,JAGDISH SIDAR,Independent,923
129,Chhattisgarh,40,Chhattisgarh - Basna,PRAHALLAD BARIHA,Independent,833
130,Chhattisgarh,40,Chhattisgarh - Basna,SANKALP DASS,Aam Aadmi Party,493
131,Chhattisgarh,40,Chhattisgarh - Basna,GAURISHANKAR PATEL,Independent,492
132,Chhattisgarh,40,Chhattisgarh - Basna,KEDARNATH PATEL,Independent,406
133,Chhattisgarh,40,Chhattisgarh - Basna,SADANAND SAHU,Bhartiya Shakti Chetna Party,405
134,Chhattisgarh,40,Chhattisgarh - Basna,YAGENDRA BHOI,Samajwadi Party,350
135,Chhattisgarh,40,Chhattisgarh - Basna,None of the Above,None of the Above,2431
136,Chhattisgarh,85,Chhattisgarh - Bastar,BAGHEL LAKHESHWAR,Indian National Congress,74378
137,Chhattisgarh,85,Chhattisgarh - Bastar,DR. SUBHAU KASHYAP,Bharatiya Janata Party,40907
138,Chhattisgarh,85,Chhattisgarh - Bastar,SONSAY KASHYAP,Janta Congress Chhattisgarh (J),3688
139,Chhattisgarh,85,Chhattisgarh - Bastar,JAGMOHAN BAGHEL,Aam Aadmi Party,2121
140,Chhattisgarh,85,Chhattisgarh - Bastar,DULAB SURYAVANSHI,Independent,2034
141,Chhattisgarh,85,Chhattisgarh - Bastar,None of the Above,None of the Above,5083
142,Chhattisgarh,31,Chhattisgarh - Beltara,RAJNISH KUMAR SINGH,Bharatiya Janata Party,49601
143,Chhattisgarh,31,Chhattisgarh - Beltara,RAJENDRA SAHU(DABBU),Indian National Congress,43342
144,Chhattisgarh,31,Chhattisgarh - Beltara,ANIL TAH,Janta Congress Chhattisgarh (J),38308
145,Chhattisgarh,31,Chhattisgarh - Beltara,SOHIT YADAV OR BUNTY,Independent,2576
146,Chhattisgarh,31,Chhattisgarh - Beltara,SHITAL SONI,Aap Sabki Apni Party,1663
147,Chhattisgarh,31,Chhattisgarh - Beltara,SANJAY SINGH(GURUJI),Independent,1458
148,Chhattisgarh,31,Chhattisgarh - Beltara,ARVIND KUMAR PANDEY,Aam Aadmi Party,881
149,Chhattisgarh,31,Chhattisgarh - Beltara,SURESH KUMAR KINLE,Nationalist Congress Party,797
150,Chhattisgarh,31,Chhattisgarh - Beltara,AJAY SHARMA,Shiv Sena,680
151,Chhattisgarh,31,Chhattisgarh - Beltara,PARAS RAM YADAW,Independent,518
152,Chhattisgarh,31,Chhattisgarh - Beltara,KIRAN KUMAR SINGH,Gondvana Gantantra Party,452
153,Chhattisgarh,31,Chhattisgarh - Beltara,RUPENDRA KUMAR SURYAWANSHI,Republican Party of India (A),411
154,Chhattisgarh,31,Chhattisgarh - Beltara,NAVEEN KUMAR SAHU,Ambedkarite Party of India,387
155,Chhattisgarh,31,Chhattisgarh - Beltara,RAMESH SAHU,Janata Dal (United),363
156,Chhattisgarh,31,Chhattisgarh - Beltara,NANDKUMAR KAMAL,India Praja Bandhu Party,186
157,Chhattisgarh,31,Chhattisgarh - Beltara,None of the Above,None of the Above,2176
158,Chhattisgarh,69,Chhattisgarh - Bemetara,ASHISH KUMAR CHHABRA,Indian National Congress,74914
159,Chhattisgarh,69,Chhattisgarh - Bemetara,AWADHESH SINGH CHANDEL,Bharatiya Janata Party,49783
160,Chhattisgarh,69,Chhattisgarh - Bemetara,YOGESH TIWARI,Janta Congress Chhattisgarh (J),28332
161,Chhattisgarh,69,Chhattisgarh - Bemetara,SANJEEV AGRAWAL,Independent,4374
162,Chhattisgarh,69,Chhattisgarh - Bemetara,SOHAN LAL NISHAD,Nirbal Indian Shoshit Hamara Aam Dal,4275
163,Chhattisgarh,69,Chhattisgarh - Bemetara,CHURAMAN SINGH SAHU,Janata Dal (United),1713
164,Chhattisgarh,69,Chhattisgarh - Bemetara,ANJOR DHAS MAHANT,Independent,1332
165,Chhattisgarh,69,Chhattisgarh - Bemetara,RAMCHAND SAHU,Independent,969
166,Chhattisgarh,69,Chhattisgarh - Bemetara,DAURAM CHOUHAN,Shiv Sena,638
167,Chhattisgarh,69,Chhattisgarh - Bemetara,SAIYAD FARUQUE ALI,Aam Aadmi Party,613
168,Chhattisgarh,69,Chhattisgarh - Bemetara,YASHWANT SITARAM SAHU,Bhartiya Shakti Chetna Party,526
169,Chhattisgarh,69,Chhattisgarh - Bemetara,RAJESH DUBEY,Independent,469
170,Chhattisgarh,69,Chhattisgarh - Bemetara,MANMOHAN THAKUR,Independent,375
171,Chhattisgarh,69,Chhattisgarh - Bemetara,BHUNESHWAR SATNAMI,Independent,362
172,Chhattisgarh,69,Chhattisgarh - Bemetara,BALDAU PRASAD SIWARE,Ambedkarite Party of India,343
173,Chhattisgarh,69,Chhattisgarh - Bemetara,None of the Above,None of the Above,3789
174,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,MANOJ SINGH MANDAVI,Indian National Congress,72520
175,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,DEO LAL DUGGA,Bharatiya Janata Party,45827
176,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,KOMAL HUPENDI,Aam Aadmi Party,9634
177,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,MANAK DARPATTI,Janta Congress Chhattisgarh (J),9611
178,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,SIYA RAM PARCHAPI,Gondvana Gantantra Party,2698
179,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,SHYAM LAL GAWDE,Shiv Sena,1699
180,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,DURGA PRASAD THAKUR,Ambedkarite Party of India,1565
181,Chhattisgarh,80,Chhattisgarh - Bhanupratappur,None of the Above,None of the Above,4235
182,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,GULAB KAMRO,Indian National Congress,51732
183,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,CHAMPADEVI PAWLE,Bharatiya Janata Party,35199
184,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,SHYAM SINGH MARKAM,Gondvana Gantantra Party,26632
185,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,KRISHANA PRASAD CHERVA,Bahujan Samaj Party,9689
186,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,SUKHMANTI BAI,Aam Aadmi Party,2205
187,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,SHARAN SINGH,Independent,1486
188,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,KRISHNA KANT NAGVANSHI,Chhattisgarh Vikas Ganga Rashtriya Party,1409
189,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,MADANLAL,Bhartiya Panchyat Party,837
190,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,POOJA SINGH POYA,Pichhara Samaj Party United,626
191,Chhattisgarh,1,Chhattisgarh - Bharatpur-sonhat,None of the Above,None of the Above,3360
192,Chhattisgarh,46,Chhattisgarh - Bhatapara,SHIVRATAN SHARMA,Bharatiya Janata Party,63399
193,Chhattisgarh,46,Chhattisgarh - Bhatapara,SUNIL MAHESHWARI,Indian National Congress,51490
194,Chhattisgarh,46,Chhattisgarh - Bhatapara,CHAITRAM SAHU,Janta Congress Chhattisgarh (J),45907
195,Chhattisgarh,46,Chhattisgarh - Bhatapara,MURARI MISHRA,Nationalist Congress Party,2269
196,Chhattisgarh,46,Chhattisgarh - Bhatapara,MOHAN GAYAKWAD,Independent,1963
197,Chhattisgarh,46,Chhattisgarh - Bhatapara,NARAYAN SAHU,Independent,1701
198,Chhattisgarh,46,Chhattisgarh - Bhatapara,AMAR DAS MATRE,Independent,1463
199,Chhattisgarh,46,Chhattisgarh - Bhatapara,RESHAMLAL JOGI,Independent,1153
200,Chhattisgarh,46,Chhattisgarh - Bhatapara,KATYANI VERMA,Aam Aadmi Party,1140
201,Chhattisgarh,46,Chhattisgarh - Bhatapara,RADHECHARAN DHRUW,Gondvana Gantantra Party,928
202,Chhattisgarh,46,Chhattisgarh - Bhatapara,BHEEKHAM YADU,Shiv Sena,837
203,Chhattisgarh,46,Chhattisgarh - Bhatapara,SANTOSH KUMAR KOSHLE,Independent,714
204,Chhattisgarh,46,Chhattisgarh - Bhatapara,GOPAL NUT,Asankhya Samaj Party,701
205,Chhattisgarh,46,Chhattisgarh - Bhatapara,PRAVIN KUMAR SAHU,Chhattisgarh Swabhiman Manch,654
206,Chhattisgarh,46,Chhattisgarh - Bhatapara,TORANDAS KOSLE,Independent,614
207,Chhattisgarh,46,Chhattisgarh - Bhatapara,GIRJALAL TONDE,Independent,468
208,Chhattisgarh,46,Chhattisgarh - Bhatapara,SATYANARAYAN SONWANI,Independent,370
209,Chhattisgarh,46,Chhattisgarh - Bhatapara,PREMPRAKASH,Bharat Bhoomi Party,365
210,Chhattisgarh,46,Chhattisgarh - Bhatapara,None of the Above,None of the Above,915
211,Chhattisgarh,5,Chhattisgarh - Bhatgaon,PARAS NATH RAJWADE,Indian National Congress,74623
212,Chhattisgarh,5,Chhattisgarh - Bhatgaon,RAJNI RAVISHANKAR TRIPATHI,Bharatiya Janata Party,58889
213,Chhattisgarh,5,Chhattisgarh - Bhatgaon,RAM ADHEEN POYA,Samajwadi Party,10050
214,Chhattisgarh,5,Chhattisgarh - Bhatgaon,SURENDRA CHOUDHARY,Janta Congress Chhattisgarh (J),9067
215,Chhattisgarh,5,Chhattisgarh - Bhatgaon,MADHU TIWARI,Independent,3967
216,Chhattisgarh,5,Chhattisgarh - Bhatgaon,SURENDRA LAL SINGH NETI,Communist Party of India (Marxist),2673
217,Chhattisgarh,5,Chhattisgarh - Bhatgaon,DILEEP YADAV (KASKELA),Independent,1608
218,Chhattisgarh,5,Chhattisgarh - Bhatgaon,LAVKUSH THAKUR,Independent,1407
219,Chhattisgarh,5,Chhattisgarh - Bhatgaon,SAHEBAN PRASAD BHAGAT,Independent,1228
220,Chhattisgarh,5,Chhattisgarh - Bhatgaon,ALAM SAI SINGH,Independent,1005
221,Chhattisgarh,5,Chhattisgarh - Bhatgaon,D. K. SONI,Aam Aadmi Party,877
222,Chhattisgarh,5,Chhattisgarh - Bhatgaon,TILESHWAR PRASAD RAJWADE,Independent,844
223,Chhattisgarh,5,Chhattisgarh - Bhatgaon,OM PRAKASH SONWANI,Independent,807
224,Chhattisgarh,5,Chhattisgarh - Bhatgaon,SITA RAM BHASKAR,Independent,803
225,Chhattisgarh,5,Chhattisgarh - Bhatgaon,MOHAN SINGH TEKAM,Shiv Sena,734
226,Chhattisgarh,5,Chhattisgarh - Bhatgaon,KUMAIT SANDIL,Independent,692
227,Chhattisgarh,5,Chhattisgarh - Bhatgaon,UPENDRA GUPTA,Independent,683
228,Chhattisgarh,5,Chhattisgarh - Bhatgaon,RAMLAL RAJWADE,Bhartiya Panchyat Party,517
229,Chhattisgarh,5,Chhattisgarh - Bhatgaon,HARIBHAGAT YADAV,Independent,472
230,Chhattisgarh,5,Chhattisgarh - Bhatgaon,ANAND RAJWADE,Independent,439
231,Chhattisgarh,5,Chhattisgarh - Bhatgaon,None of the Above,None of the Above,981
232,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,DEVENDRA YADAV,Indian National Congress,51044
233,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,PREM PRAKASH PANDEY,Bharatiya Janata Party,48195
234,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,DEENANATH JAISWAR,Bahujan Samaj Party,2662
235,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,SHATRUGHAN PRASAD,Independent,592
236,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,SURESH KUMAR ADIL,Independent,544
237,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,THANENDRA SAHU,Swabhiman Party,319
238,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,MO. RAZA SIDDIQUE,Aam Aadmi Party,276
239,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,AENUL HAQUE KHAN,Bhrashtachar Mukti Morcha,216
240,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,RAMPYARI BHARTI,Independent,208
241,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,BIJU JOHNSON,Chhattisgarh Swabhiman Manch,149
242,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,JAVED KHAN,Independent,123
243,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,ANWARUL HAQUE,Independent,91
244,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,JANISAR AKHTAR,Rashtriya Samajwadi Swabhiman Manch,72
245,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,MO. NASEEM,Bahujan Mukti Party,55
246,Chhattisgarh,65,Chhattisgarh - Bhilai Nagar,None of the Above,None of the Above,1147
247,Chhattisgarh,89,Chhattisgarh - Bijapur,VIKRAM MANDAVI,Indian National Congress,44011
248,Chhattisgarh,89,Chhattisgarh - Bijapur,MAHESH GAGDA,Bharatiya Janata Party,22427
249,Chhattisgarh,89,Chhattisgarh - Bijapur,CHANDRAIYA SAKNI,Janta Congress Chhattisgarh (J),2696
250,Chhattisgarh,89,Chhattisgarh - Bijapur,HARISH PAMBHOI,Independent,2004
251,Chhattisgarh,89,Chhattisgarh - Bijapur,SANTOSH PUNEM,Samajwadi Party,999
252,Chhattisgarh,89,Chhattisgarh - Bijapur,TRIPAT YALAM,Aam Aadmi Party,942
253,Chhattisgarh,89,Chhattisgarh - Bijapur,JAMES KUDIYAM,Independent,920
254,Chhattisgarh,89,Chhattisgarh - Bijapur,None of the Above,None of the Above,4703
255,Chhattisgarh,43,Chhattisgarh - Bilaigarh,CHANDRADEV PRASAD RAI,Indian National Congress,71936
256,Chhattisgarh,43,Chhattisgarh - Bilaigarh,SHYAM KUMAR TANDAN,Bahujan Samaj Party,62089
257,Chhattisgarh,43,Chhattisgarh - Bilaigarh,DR. SANAM JANGDE,Bharatiya Janata Party,40623
258,Chhattisgarh,43,Chhattisgarh - Bilaigarh,BHOJ RAM AJAGALE,Independent,10595
259,Chhattisgarh,43,Chhattisgarh - Bilaigarh,HARI RAM KURREY,Independent,2580
